name,species,breeds.primary,age,gender,size,coat,description,contact.phone,contact.address.city,contact.address.state,contact.address.postcode,url,primary_photo_cropped.large
Koolcat,Cat,Domestic Medium Hair,Senior,Female,Extra Large,,"I&amp;#39;m in a FOSTER HOME! If you want to meet me, you can start the process by completing BOTH of...",(202) 576-6664,Washington,DC,20002,https://www.petfinder.com/cat/koolcat-59318179/dc/washington/humane-rescue-alliance-foster-homes-dc03/?referrer_id=06f5e6d3-1b53-421e-b5bb-ec067cd24455,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59318179/1/?bust=1674835071&width=600
Gorbey,Cat,Domestic Short Hair,Senior,Female,Large,,"I&amp;#39;m in a FOSTER HOME! If you want to meet me, you can start the process by completing BOTH of...",(202) 576-6664,Washington,DC,20002,https://www.petfinder.com/cat/gorbey-59117554/dc/washington/humane-rescue-alliance-foster-homes-dc03/?referrer_id=06f5e6d3-1b53-421e-b5bb-ec067cd24455,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59117554/1/?bust=1674998198&width=600
Miss Tigger,Cat,Domestic Short Hair,Senior,Female,Large,Short,Miss Tigger is a 12-year-old cat who was adopted out from us in 2017. We recently fond out her owner...,,Falls Church,VA,22041,https://www.petfinder.com/cat/miss-tigger-59107269/va/falls-church/pets-bring-joy-va647/?referrer_id=06f5e6d3-1b53-421e-b5bb-ec067cd24455,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/59107269/1/?bust=1671289827&width=600
Tootsie,Cat,Domestic Short Hair,Senior,Female,Large,,"I&amp;#39;m in a FOSTER HOME! If you want to meet me, you can start the process by completing BOTH of...",(202) 576-6664,Washington,DC,20002,https://www.petfinder.com/cat/tootsie-58463018/dc/washington/humane-rescue-alliance-foster-homes-dc03/?referrer_id=06f5e6d3-1b53-421e-b5bb-ec067cd24455,https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/58463018/1/?bust=1674998198&width=600
